Date;High;Low;Close;ADX
10.02.2010;43.08;42.52;42.79;30.38
11.02.2010;43.56;42.53;43.44;29.48
12.02.2010;43.65;42.93;43.53;28.47
16.02.2010;44.12;43.62;44.09;26.69
17.02.2010;44.33;44.03;44.33;24.89
18.02.2010;44.69;44.21;44.61;23.77
19.02.2010;44.81;44.38;44.59;22.92
22.02.2010;44.79;44.32;44.5;22
23.02.2010;44.5;43.72;43.93;20.8
24.02.2010;44.55;44.09;44.37;19.59
25.02.2010;44.46;43.6;44.36;19.24
26.02.2010;44.62;44.16;44.52;18.6
01.03.2010;45.25;44.71;45.17;17.63
02.03.2010;45.61;45.21;45.31;17.27
03.03.2010;45.58;45.19;45.36;16.9
04.03.2010;45.57;45.16;45.51;16.49
05.03.2010;46.29;45.75;46.19;17.16
08.03.2010;46.39;46.19;46.28;17.91
09.03.2010;46.8;46.15;46.54;19.09
10.03.2010;47.03;46.55;46.92;20.44
11.03.2010;47.1;46.73;47.1;21.78
12.03.2010;47.28;46.85;47.11;23.22
15.03.2010;47.13;46.66;46.99;24.05
16.03.2010;47.36;46.98;47.29;25.11
17.03.2010;47.65;47.28;47.42;26.42
18.03.2010;47.63;47.35;47.58;27.64
19.03.2010;47.75;47.12;47.29;28.11
22.03.2010;47.91;47.05;47.72;28.76
23.03.2010;48.1;47.57;48.05;29.62
24.03.2010;47.97;47.71;47.82;30.41
25.03.2010;48.39;47.7;47.75;31.7
26.03.2010;48.13;47.54;47.8;32.38
29.03.2010;48.2;47.9;48.03;33.1
30.03.2010;48.35;47.86;48.19;33.97
31.03.2010;48.25;47.87;47.96;34.78
01.04.2010;48.49;47.59;47.96;34.52
05.04.2010;48.51;47.94;48.4;34.32
06.04.2010;48.69;48.19;48.54;34.46
07.04.2010;48.66;48.17;48.42;34.51
08.04.2010;48.61;48.04;48.53;34.05
09.04.2010;48.84;48.43;48.82;34.09
12.04.2010;48.99;48.73;48.86;34.41
13.04.2010;49.14;48.65;49.11;34.98
14.04.2010;49.71;49.29;49.7;36.33
15.04.2010;49.98;49.66;49.92;37.89
16.04.2010;49.91;48.99;49.32;37.09
19.04.2010;49.45;48.69;49.29;35.56
